Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Pinot Grigio 2018,Italy,delle Venezie,Villa Cavarena,3.6,40,8.94,2018-01-01,delle Venezie,Italy,45.3485187,11.9571797,,,,,,,,,,,,,,,
Sauvignon Blanc 2018,Germany,Rheinhessen,Sander,3.9,40,9.9,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.3,40,189.0,2015-01-01,Corton-Charlemagne Grand Cru,France,47.0790554,4.870533,11.533333333333333,5.833333333333333,17.5,22.333333333333332,13360.0,19.066666666666666,13.733333333333334,24.766666666666666,85.0,13220.0,12.9,8.966666666666667,17.7,90.66666666666667,7940.0
Stromberg Riesling GG 2017,Germany,Nahe,Schäfer-Fröhlich,4.2,40,45.84,2017-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Sauvignon Blanc 2018,South Africa,Stellenbosch,Peter Falke,3.6,40,13.95,2018-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.3,,,,,12.633333333333333,,,,,16.3,,,,
Siglo de Oro Reserva Chardonnay 2018,Chile,Central Valley,Santa Helena,3.5,40,6.2,2018-01-01,Central Valley,Chile,-36.0,-72.0,,,,,,,,,,,,,,,
Faß 12 Ayler Kupp Unterstenberg Riesling 2018,Germany,Mosel,Peter Lauer,4.1,40,21.94,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Mount Hermon White 2019,Israel,Galilee,Hermon,3.6,40,9.95,2019-01-01,Galilee,Israel,32.8008444,35.5889732,,,,,,25.8,19.6,32.3,,,20.5,15.666666666666664,26.166666666666668,,
Amos 2017,Italy,Trentino-Alto Adige,Kurtatsch (Cortaccia),3.8,40,21.9,2017-01-01,Trentino-Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Les Châtillons Chablis 2015,France,Chablis,Domaine des Hâtes,4.1,40,19.43,2015-01-01,Chablis,France,47.8152073,3.8001657,,,,,,17.6,13.3,22.2,,,,,,,
RK Riesling 2018,Germany,Mosel,Reichsgraf von Kesselstatt,3.7,40,8.92,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Chassagne-Montrachet Blanc 2016,France,Chassagne-Montrachet,Louis Jadot,4.4,40,71.39,2016-01-01,Chassagne-Montrachet,France,46.93636,4.72736,,,,,,,,,,,,,,,
Bernkasteler Badstube Riesling Auslese ** 2015,Germany,Mosel,Markus Molitor,4.3,40,35.09,2015-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Del Cerro Verdicchio di Matelica 2019,Italy,Verdicchio di Matelica,Belisario,3.6,40,8.33,2019-01-01,Verdicchio di Matelica,Italy,43.2627162,13.0251348,12.4,7.6000000000000005,14.35,57.7,,22.900000000000002,20.35,29.4,45.3,,11.85,7.9,11.9,,
Sand & Kalk 2015,Austria,Steiermark,Herrenhof Lamprecht,4.1,40,24.91,2015-01-01,Steiermark,Austria,47.2500001,15.1666665,,,,,,,,,,,,,,,
Klassiek Wit 2018,South Africa,Western Cape,Oude Kaap,2.8,40,3.75,2018-01-01,Western Cape,South Africa,-33.546977,20.72753,21.45,13.8,29.2,,,11.25,3.6500000000000004,21.2,,,16.9,9.399999999999999,28.1,,
Wehlener Sonnenuhr Riesling Auslese 2016,Germany,Mosel,Markus Molitor,4.1,40,76.04,2016-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Spiegel 2016,Austria,Wagram,Bernhard Ott,3.9,40,29.9,2016-01-01,Wagram,Austria,48.4173292,15.9560853,,,,,,23.35,16.55,30.05,,,10.0,7.0,13.3,,
Les Vignes de Saint Laurent l'Abbaye Pouilly-Fumé 2017,France,Pouilly-Fumé,Domaine Chatelain,3.9,40,13.6,2017-01-01,Pouilly-Fumé,France,49.272939,2.032351,,,,,,,,,,,,,,,
Toreye Riesling Alte Reben 2018,Germany,Pfalz,Eymann,3.8,40,14.9,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Meursault 1er Cru Les Genevrières 2015,France,Meursault Premier Cru,Domaine Henri Boillot,4.2,40,119.0,2015-01-01,Meursault Premier Cru,France,46.9648007,4.7567068,,,,,,,,,,,,,,,
Niederberg Helden Riesling GG 2016,Germany,Mosel,Schloss Lieser,3.8,40,29.9,2016-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Hermannsberg GG 2014,Germany,Nahe,Gut Hermannsberg,4.1,40,35.0,2014-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Alte Reben Riesling Trocken 2019,Germany,Mosel,Carl Loewen,3.9,40,11.0,2019-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Halgans Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,3.9,40,19.9,2017-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Les Chailloux Silex Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Chatelain,3.8,40,14.55,2018-01-01,Pouilly-Fumé,France,49.272939,2.032351,,,,,,,,,,,,,,,
Wachstum Bodenstein Riesling 2016,Austria,Wachau,Prager,4.0,40,37.83,2016-01-01,Wachau,Austria,47.7286939,16.2263822,,,,,,,,,,,,,,,
Espigueiro 2018,Portugal,Vinho Verde,Casa Agricola de Compostela,3.6,40,5.5,2018-01-01,Vinho Verde,Portugal,41.0645447,-8.2348455,,,,,,,,,,,,,,,
Pass-O 2018,Italy,Puglia,Menhir,3.9,40,10.95,2018-01-01,Puglia,Italy,40.9842539,16.6210027,16.049999999999997,11.2,20.25,,,25.75,20.2,30.4,,,,,,,
Graacher Himmelreich Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.1,40,23.95,2015-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Saarburger Rausch Riesling Auslese 2018,Germany,Mosel,Forstmeister Geltz-Zilliken,4.1,40,54.95,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Genèse Riesling 2011,France,Alsace,Vignoble des 2 Lunes,4.0,40,14.57,2011-01-01,Alsace,France,50.7007285,3.160983,9.433333333333334,4.866666666666666,14.300000000000002,34.333333333333336,10960.0,18.266666666666666,13.566666666666668,23.366666666666664,76.0,12420.0,10.5,7.533333333333334,14.166666666666666,87.66666666666667,6000.0
Roero Arneis 2019,Italy,Roero,Pescaja,4.0,40,10.92,2019-01-01,Roero,Italy,44.7806865,7.9311892,10.566666666666668,12.0,13.666666666666666,105.53333333333335,,21.5,18.4,24.9,61.53333333333333,,10.55,8.85,8.7,126.1,
Terroir d'Altitude Chardonnay 2017,France,Pays d'Oc,Fortant,3.9,40,9.5,2017-01-01,Pays d'Oc,France,43.604764,1.4540399,12.233333333333334,8.266666666666667,17.3,59.300000000000004,,21.366666666666664,16.133333333333333,27.400000000000002,47.46666666666667,,15.333333333333334,11.133333333333333,20.4,36.93333333333333,
Tertiär Sauvignon Blanc Trocken 2018,Germany,Pfalz,Wageck-Pfaffmann,3.5,40,9.5,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Morena Bianca Lugana 2019,Italy,Lugana,Biscardo,3.8,40,8.76,2019-01-01,Lugana,Italy,45.4600534,10.6196897,,,,,,,,,,,12.5,10.1,15.3,,
Silvaner Escherndorfer 2016,Germany,Franken,Rainer Sauer,3.8,40,11.51,2016-01-01,Franken,Germany,50.5011427,7.2341043,,,,,,,,,,,,,,,
Volz Riesling 2015,Germany,Wiltingen,Van Volxem,4.0,40,31.68,2015-01-01,Wiltingen,Germany,49.6591723,6.590185,,,,,,,,,,,,,,,
Vigne di Catullo Riserva Lugana 2016,Italy,Lugana,Roveglia,4.0,40,12.58,2016-01-01,Lugana,Italy,45.4600534,10.6196897,,,,,,,,,,,,,,,
Tacheles 2018,Germany,Rheinhessen,Weinreich,3.8,40,13.4,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
White Block Chardonnay 2018,Australia,Langhorne Creek,Bremerton,3.6,40,19.3,2018-01-01,Langhorne Creek,Australia,-35.295938,139.0364451,16.2,11.333333333333334,22.666666666666668,31.733333333333334,,11.066666666666668,6.533333333333334,16.166666666666668,69.8,,16.133333333333333,10.466666666666667,22.799999999999997,31.73333333333333,
Saint-Véran 2018,France,Saint-Véran,Trénel,3.8,40,14.95,2018-01-01,Saint-Véran,France,44.6993395,6.8687131,,,,,,,,,,,,,,,
Chardonnay Leithakalk 2017,Austria,Burgenland,Kollwentz,3.7,40,31.63,2017-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,21.9,16.7,27.4,,,9.7,6.2,13.7,,
Sauvignon Blanc 2019,South Africa,Coastal Region,Steenberg,3.9,40,13.75,2019-01-01,Coastal Region,South Africa,-29.0,24.0,,,,,,,,,,,,,,,
El Viaje de Ramón Verdejo 2018,Spain,Rioja,Ramón Bilbao,3.2,41,6.75,2018-01-01,Rioja,Spain,42.3285528,-2.4674917,14.133333333333333,7.2,21.899999999999995,27.266666666666666,,22.433333333333334,16.066666666666666,30.2,60.26666666666667,,13.933333333333332,8.266666666666667,20.933333333333334,13.066666666666668,
Petit Chablis 2018,France,Petit Chablis,Domaine Philippe Goulley,3.6,41,17.2,2018-01-01,Petit Chablis,France,47.81193,3.802408,9.4,3.1,15.4,,,,,,,,6.6,3.1,10.1,,
Dajoar Riesling 2018,Germany,Mosel,Andreas Bender,4.1,41,7.32,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Russiz Superiore Col Disôre Bianco Collio 2016,Italy,Collio,Marco Felluga,4.3,41,35.99,2016-01-01,Collio,Italy,45.8093124,10.3328723,,,,,,,,,,,,,,,
Oppenheim Riesling 2018,Germany,Rheinhessen,Kühling-Gillot,3.9,41,20.88,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Felseneck Riesling Kabinett 2018,Germany,Nahe,Schäfer-Fröhlich,3.8,41,16.58,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Halenberg Riesling GG 2018,Germany,Nahe,Emrich-Schönleber,4.2,41,42.0,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Passerina 2016,Italy,Terre di Chieti,Villamedoro,3.3,41,5.7,2016-01-01,Terre di Chieti,Italy,42.3503,14.16773,,,,,,,,,,,16.5,11.600000000000001,21.75,,
Black Label Nik Weis Goldtröpfchen Kabinett 2018,Germany,Mosel,St. Urbans-Hof,4.3,41,15.99,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Chardonnay II 2017,Germany,Pfalz,Von Winning,3.6,41,14.5,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Sauvignon Blanc 2019,Germany,Rheinhessen,Krämer - Straight,4.1,41,8.99,2019-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Nussberg Grüner Veltliner 2018,Austria,Wien,Wieninger,3.7,41,13.14,2018-01-01,Wien,Austria,48.2083537,16.3725042,,,,,,,,,,,,,,,
Chardonnay 2018,France,Pays d'Oc,Cap Cette,3.3,41,7.5,2018-01-01,Pays d'Oc,France,43.604764,1.4540399,13.666666666666666,8.566666666666668,19.799999999999997,75.8,,22.46666666666667,17.733333333333334,28.599999999999998,40.9,,13.666666666666666,9.466666666666667,19.099999999999998,26.433333333333334,
Branco 2017,Portugal,Dão,Quinta da Ponte Pedrinha,3.9,41,8.8,2017-01-01,Dão,Portugal,39.9375585,-7.8638768,12.833333333333334,,,136.65,,25.333333333333332,19.35,,,,17.3,,,,
La Soufrandiére Le Clos de Grand Pére Macon-Vinzelles 2017,France,Mâcon-Vinzelles,Bret Brothers & The Soufrandière,4.1,41,27.5,2017-01-01,Mâcon-Vinzelles,France,46.2695108,4.796244,,,,,,18.9,15.0,23.5,,,10.8,7.0,14.9,,
Sauvignon Blanc 2018,Germany,Pfalz,Heinrich Spindler,3.8,41,10.5,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Scheurebe Trocken 2018,Germany,Rheinhessen,Wittmann,3.6,41,15.25,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Pouilly-Fumé Terres Blanches 2018,France,Pouilly-Fumé,Pascal Jolivet,3.8,41,26.18,2018-01-01,Pouilly-Fumé,France,49.272939,2.032351,,,,,,,,,,,,,,,
Niederberg Helden Riesling Spätlese Feinherb 2018,Germany,Mosel,Weingut Thanisch,4.1,41,12.85,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Chardonnay 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.4,41,9.5,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Frühtau Riesling Trocken 2016,Germany,Nahe,Emrich-Schönleber,4.0,41,17.9,2016-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Paulessen Riesling 2018,Germany,Mosel,Andreas Bender,3.8,41,7.32,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Reserva Chardonnay (Classic) 2019,Chile,Central Valley,Montes,3.6,41,6.89,2019-01-01,Central Valley,Chile,-36.0,-72.0,,,,,,,,,,,,,,,
Domaine Sainte Barbe Les Tilles Mâcon-Villages 2018,France,Mâcon-Villages,Chaland Jean-Marie,3.6,41,14.5,2018-01-01,Mâcon-Villages,France,49.2663498,-0.4028409,11.066666666666668,6.333333333333333,16.75,53.96666666666667,,17.633333333333333,12.133333333333333,23.433333333333334,44.03333333333333,,12.066666666666668,7.966666666666666,16.133333333333336,62.36666666666667,
Montagny 1er Cru 'Les Saint Morilles' 2015,France,Montagny 1er Cru 'Saint-Morille',Berthenet,3.7,41,19.37,2015-01-01,Montagny 1er Cru 'Saint-Morille',France,46.654142,5.260831,,,,,,,,,,,,,,,
Sancerre Blanc 2017,France,Sancerre,Langlois-Chateau,3.7,41,10.0,2017-01-01,Sancerre,France,47.3306906,2.8390454,,,,,,,,,,,,,,,
Ευχές (Wishes) 2015,Greece,Macedonia,Pieria Eratini (Πιερία Ερατεινή),4.0,41,13.95,2015-01-01,Macedonia,Greece,40.6186482,22.9179536,16.03333333333333,9.933333333333332,20.133333333333333,57.666666666666664,12800.0,26.866666666666664,19.633333333333333,31.2,33.333333333333336,20060.0,16.966666666666665,13.133333333333333,20.53333333333333,79.66666666666667,8500.0
Vieilles Vignes Châteauneuf-du-Pape Blanc 2015,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,41,154.99,2015-01-01,Châteauneuf-du-Pape,France,44.055989,4.8317351,,,,,,,,,,,,,,,
Estate Gewürztraminer 2013,France,Alsace Grand Cru,Hugel,4.0,41,20.47,2013-01-01,Alsace Grand Cru,France,48.790357,2.584516,11.6,6.966666666666666,16.5,62.0,10200.0,18.466666666666665,13.699999999999998,23.799999999999997,53.0,11420.0,11.600000000000001,8.133333333333333,15.666666666666666,55.666666666666664,5780.0
Chardonnay 2018,Austria,Burgenland,Paul Achs,3.6,41,9.65,2018-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,,,,,,11.7,7.1,17.0,,
Muskateller Trocken 2018,Germany,Pfalz,Ökonomierat Rebholz,4.1,41,18.94,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Teppo Riesling 2016,Germany,Mosel,Fio,3.7,41,17.79,2016-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Rioja Fermentado en Barrica Blanco 2017,Spain,Rioja,Baigorri,3.6,41,14.43,2017-01-01,Rioja,Spain,42.3285528,-2.4674917,11.766666666666666,6.333333333333333,17.866666666666667,30.8,,22.0,15.1,30.133333333333336,13.1,,14.666666666666666,9.233333333333334,21.366666666666664,32.0,
Opale 2018,Italy,Vermentino di Sardegna,Mesa,3.9,41,22.5,2018-01-01,Vermentino di Sardegna,Italy,40.8044992,9.3202819,,,,,,26.0,19.9,31.4,,,,,,,
Felseneck Riesling GG 2018,Germany,Nahe,Schäfer-Fröhlich,4.3,41,46.79,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Mineral Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,41,14.9,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Heugumber 2017,Germany,Baden,Ziereisen,3.5,41,6.4,2017-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Frühtau Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,4.0,41,23.06,2017-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Lo Cortinelo.Lo Blanc 2016,Spain,Plà i Llevant,Es Fangar,4.3,41,28.1,2016-01-01,Plà i Llevant,Spain,39.7710681,3.3609527,,,,,,,,,,,,,,,
Riesling Trocken 2018,Germany,Nahe,Korrell,3.6,41,9.9,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Kupfergrube GG 2016,Germany,Nahe,Gut Hermannsberg,4.4,42,46.88,2016-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Loibenberg Riesling 2017,Austria,Wachau,Pichler-Krutzler,3.9,42,32.87,2017-01-01,Wachau,Austria,47.7286939,16.2263822,,,,,,,,,,,,,,,
Hyde Vineyard Chardonnay 2016,United States,Los Carneros,Patz & Hall,4.3,42,84.0,2016-01-01,Los Carneros,United States,34.4403502,-119.8493992,15.5,9.9,21.600000000000005,6.8,,19.8,15.366666666666667,24.73333333333333,2.6333333333333333,,19.066666666666666,12.333333333333334,25.933333333333334,6.366666666666667,
Chardonnay Fermentado en Barrica 2018,Spain,Somontano,Enate,4.3,42,19.99,2018-01-01,Somontano,Spain,42.0883878,0.0994041,,,,,,,,,,,,,,,
Pinot Grigio 2018,Italy,Friuli-Venezia Giulia,Sturm,4.0,42,14.43,2018-01-01,Friuli-Venezia Giulia,Italy,46.151042,13.055904,,,,,,,,,,,,,,,
Semis Bianco 2015,Italy,Abruzzo,Collefrisio,4.3,42,29.95,2015-01-01,Abruzzo,Italy,42.227681,13.854983,,,,,,,,,,,,,,,
Win Win Riesling 2019,Germany,Pfalz,Von Winning,3.8,42,9.7,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
St. Andrews Chardonnay 2017,Australia,Clare Valley,Taylors / Wakefield,4.1,42,20.0,2017-01-01,Clare Valley,Australia,-33.7890862,138.590557,,10.733333333333334,23.066666666666666,46.13333333333333,,,5.066666666666667,13.9,90.80000000000001,,,7.0,19.366666666666667,88.40000000000002,
Chardonnay Leithakalk 2018,Austria,Burgenland,Kollwentz,3.7,42,20.28,2018-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,,,,,,11.7,7.1,17.0,,
Oberbergener Bassgeige Weissburgunder 2018,Germany,Baden,Franz Keller,3.8,42,12.5,2018-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Materia Prima 2018,Austria,Wagram,Fritsch,4.3,42,20.84,2018-01-01,Wagram,Austria,48.4173292,15.9560853,16.3,10.6,21.9,,,,,,,,8.7,5.35,12.25,,
Grauburgunder Herrenstück 2015,Germany,Baden,Weingut Holger Koch,3.9,42,14.95,2015-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Albariño 2019,Spain,Rías Baixas,Paco & Lola,3.7,42,9.6,2019-01-01,Rías Baixas,Spain,42.8819145,-8.5487998,10.533333333333333,6.366666666666667,15.433333333333332,135.63333333333333,,18.366666666666664,13.633333333333333,24.03333333333333,47.43333333333334,,14.333333333333334,9.766666666666667,19.53333333333333,139.03333333333333,
Classic Chardonnay 2018,Austria,Wien,Wieninger,3.5,42,9.91,2018-01-01,Wien,Austria,48.2083537,16.3725042,,,,,,,,,,,,,,,
Kallstadter Saumagen Riesling Kabinett Trocken 2018,Germany,Pfalz,Koehler-Ruprecht,3.8,42,12.57,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Ölberg Riesling 2016,Germany,Rheinhessen,Kühling-Gillot,4.2,42,36.95,2016-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Vermentino Isola dei Nuraghi 2018,Italy,Isola dei Nuraghi,Capichera,4.2,42,35.97,2018-01-01,Isola dei Nuraghi,Italy,40.7092886,9.6990329,,,,,,26.0,19.9,31.4,,,,,,,
Ercavio Blanco 2018,Spain,Castilla,Más Que Vinos,3.5,42,6.1,2018-01-01,Castilla,Spain,40.4763551,-3.6800358,,10.1,22.066666666666666,19.566666666666666,,26.6,19.7,33.0,26.666666666666668,,16.666666666666668,11.633333333333333,21.966666666666665,11.233333333333334,
Maximin Grünhäuser Abtsberg Superior 2017,Germany,Mosel,Maximin Grünhaus,4.2,42,25.0,2017-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Aragosta Vermentino di Sardegna 2019,Italy,Vermentino di Sardegna,Santa Maria La Palma,3.7,42,6.9,2019-01-01,Vermentino di Sardegna,Italy,40.8044992,9.3202819,,,,,,24.7,19.45,30.05,,,18.500000000000004,14.133333333333333,23.566666666666666,,
Perdeblokke Sauvignon Blanc 2017,South Africa,Constantia,Klein Constantia,3.9,42,24.91,2017-01-01,Constantia,South Africa,-34.0283333,18.4155556,,,,,,,,,,,,,,,
Pinot Blanc Tradition 2018,France,Alsace,Emile Beyer,4.0,42,11.49,2018-01-01,Alsace,France,50.7007285,3.160983,11.566666666666665,4.9,14.649999999999999,26.4,,18.933333333333334,13.15,24.55,52.099999999999994,,11.466666666666667,7.3,15.800000000000002,68.06666666666668,
Wehlener Sonnenuhr Riesling Kabinett 2018,Germany,Wehlen,Joh. Jos. Prüm,3.9,42,25.47,2018-01-01,Wehlen,Germany,50.957091,14.0307534,,,,,,,,,,,,,,,
Summer In A Bottle White 2019,United States,Long Island,Wölffer Estate,4.0,42,24.9,2019-01-01,Long Island,United States,40.851497,-73.0994297,9.200000000000001,4.866666666666666,13.866666666666667,131.5,,22.96666666666667,18.566666666666666,27.5,109.53333333333335,,13.799999999999997,9.566666666666666,17.666666666666668,163.20000000000002,
Frühlingsplätzchen Riesling GG 2013,Germany,Nahe,Emrich-Schönleber,4.1,42,37.95,2013-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Leflaive & Associes Auxey-Duresses 2016,France,Auxey-Duresses,Domaine Leflaive,3.9,42,49.9,2016-01-01,Auxey-Duresses,France,46.9862244,4.7467921,,,,,,,,,,,,,,,
Gemischter Satz 2017,Austria,Wiener Gemischter Satz,Bernhard Ott,3.6,42,11.02,2017-01-01,Wiener Gemischter Satz,Austria,48.64444,16.185,,,,,,,,,,,,,,,
Lou Coucardié Blanc 2015,France,Costières-de-Nîmes,Michel Gassier,4.0,42,23.05,2015-01-01,Costières-de-Nîmes,France,43.8174458,4.358032,14.866666666666667,9.5,21.166666666666668,18.333333333333332,,23.0,17.266666666666666,29.566666666666666,63.0,,17.333333333333332,13.266666666666666,22.599999999999998,144.66666666666666,
Monferrato Estrosa Bianco 2018,Italy,Monferrato,Pico Maccario,3.5,42,10.4,2018-01-01,Monferrato,Italy,45.3240864,8.4230282,,,,,,,,,,,,,,,
Pettenthal Riesling GG 2017,Germany,Rheinhessen,Kühling-Gillot,4.1,42,50.0,2017-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
La Femme Soleil 2018,France,Languedoc-Roussillon,Domaine Hors Champ,3.4,42,21.45,2018-01-01,Languedoc-Roussillon,France,43.508482,2.34549,,,,,,,,,,,12.55,8.65,17.25,,
Meursault Premier Cru 'Les Charmes' 2017,France,Meursault 1er Cru 'Charmes',Domaine du Pavillon,4.2,42,70.0,2017-01-01,Meursault 1er Cru 'Charmes',France,47.168046,3.492699,,,,,,,,,,,,,,,
Zakynthino 2016,Greece,Slopes of Enos,Sclavus (Sclavos),3.8,42,17.9,2016-01-01,Slopes of Enos,Greece,39.0,22.0,,,,,,,,,,,,,,,
Tselepos Classic Moschofilero Mantinia 2019,Greece,Mantinia,Κτημα Τσελεπου (Ktima Tselepos),3.8,42,9.95,2019-01-01,Mantinia,Greece,36.9535613,22.1580433,17.133333333333336,10.2,,25.366666666666664,,25.233333333333334,18.766666666666666,32.650000000000006,33.56666666666667,,19.400000000000002,14.233333333333334,25.666666666666668,,
Sauvignon Blanc Tradition 2017,Germany,Pfalz,Philipp Kuhn,3.8,42,13.37,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Bianco di Merlot 2017,Switzerland,Ticino,Castello di Morcote,4.0,42,43.87,2017-01-01,Ticino,Switzerland,46.3351913,8.7525902,,,,,,,,,,,,,,,
T.N. 76 Weissburgunder 2013,Italy,Trentino-Alto Adige,Thomas Niedermayr,3.8,42,33.0,2013-01-01,Trentino-Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Reserva Sauvignon Blanc 2019,Chile,Maule Valley,Viña Palo Alto,3.1,42,6.84,2019-01-01,Maule Valley,Chile,-30.0,-71.0,14.133333333333333,11.8,,0.0,,10.866666666666665,,,3.65,,13.633333333333335,10.8,,0.0,
Frauenberg Riesling GG 2016,Germany,Rheinhessen,Battenfeld Spanier,3.9,42,41.58,2016-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Cirò Bianco 2017,Italy,Cirò,Fattoria San Francesco,3.7,43,5.95,2017-01-01,Cirò,Italy,39.381732,17.0613529,,,,,,,,,,,,,,,
Picpoul de Pinet 2019,France,Picpoul de Pinet,Domaine de Belle Mare,3.9,43,6.73,2019-01-01,Picpoul de Pinet,France,43.4069731,3.5095107,,,,,,22.4,19.4,25.9,,,,,,,
Steinterrassen - Riesling Federspiel 2018,Austria,Wachau,Franz Hirtzberger,3.7,43,19.9,2018-01-01,Wachau,Austria,47.7286939,16.2263822,,,,,,,,,,,,,,,
Corton-Charlemagne Grand Cru Blanc 2016,France,Corton-Charlemagne Grand Cru,Bouchard Père & Fils,4.5,43,178.96,2016-01-01,Corton-Charlemagne Grand Cru,France,47.0790554,4.870533,11.266666666666666,,,31.2,,21.23333333333333,,,38.53333333333333,,10.899999999999999,4.75,13.45,46.1,
Steinmühle 2017,Austria,Burgenland,Kollwentz,3.8,43,25.47,2017-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,21.9,16.7,27.4,,,9.7,6.2,13.7,,
Chablis 2018,France,Chablis,Domaine Philippe Goulley,3.8,43,19.95,2018-01-01,Chablis,France,47.8152073,3.8001657,9.4,3.1,15.4,,,,,,,,6.6,3.1,10.1,,
Chardonnay 2017,United States,Long Island,Wölffer Estate,3.6,43,17.9,2017-01-01,Long Island,United States,40.851497,-73.0994297,10.566666666666666,5.866666666666667,15.533333333333333,73.89999999999999,,23.400000000000002,18.866666666666667,28.299999999999997,44.53333333333334,,14.299999999999999,9.6,19.333333333333332,76.46666666666665,
