Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Haut-Médoc 2012,France,Haut-Médoc,Château Sociando-Mallet,4.0,1243,52.35,2012-01-01,Haut-Médoc,France,45.1445995,-0.7357492,15.133333333333333,9.566666666666668,21.166666666666668,17.666666666666668,15120.0,19.933333333333334,14.9,25.666666666666668,56.666666666666664,13020.0,15.600000000000001,11.5,21.033333333333335,33.666666666666664,10580.0
Tempranillo 2018,Spain,Rioja,Dinastía Manzanos,3.7,1246,5.43,2018-01-01,Rioja,Spain,42.3285528,-2.4674917,14.133333333333333,7.2,21.899999999999995,27.266666666666666,,22.433333333333334,16.066666666666666,30.2,60.26666666666667,,13.933333333333332,8.266666666666667,20.933333333333334,13.066666666666668,
Primitivo Salento Pilùna 2018,Italy,Salento,Castello Monaci,4.0,1247,6.9,2018-01-01,Salento,Italy,40.248604,15.190058,16.53333333333333,,16.4,,,25.46666666666667,,,,,19.166666666666668,,,,
Koonunga Hill Shiraz - Cabernet 2018,Australia,South Australia,Penfolds,3.7,1249,10.6,2018-01-01,South Australia,Australia,-30.5343665,135.6301212,19.7,11.633333333333333,27.633333333333336,30.3,,12.333333333333334,4.733333333333333,20.466666666666665,0.0,,20.833333333333332,12.6,29.099999999999998,16.26666666666667,
Adénzia Rosso 2016,Italy,Sicilia,Baglio del Cristo di Campobello,4.0,125,13.4,2016-01-01,Sicilia,Italy,37.587794,14.155048,11.300000000000002,4.6,15.35,144.9,,21.833333333333332,,26.633333333333336,24.95,,14.833333333333334,,23.5,97.2,
Chianti Classico 2017,Italy,Chianti Classico,Dievole,3.6,125,16.9,2017-01-01,Chianti Classico,Italy,43.3930219,11.3088538,,,,,,,,,,,,,,,
Memorious Pinot Noir 2016,United States,Sta. Rita Hills,Domaine de la Côte,4.0,125,54.0,2016-01-01,Sta. Rita Hills,United States,55.466733,-131.806174,,4.733333333333333,12.266666666666666,260.8666666666667,,14.3,12.0,18.400000000000002,210.36666666666667,,,6.033333333333332,11.133333333333333,494.3333333333333,
Batonnage (Red Scorpion) 2016,Austria,Niederösterreich,Scheiblhofer,4.4,125,149.0,2016-01-01,Niederösterreich,Austria,48.2817813,15.7632457,10.299999999999999,,16.066666666666666,32.25,,21.5,,27.700000000000003,,,10.533333333333333,,19.9,,
l'Equilibre 2016,France,Languedoc-Roussillon,Villa Symposia,3.7,125,8.72,2016-01-01,Languedoc-Roussillon,France,43.508482,2.34549,,,,,,,,,,,13.05,8.85,17.9,,
Rouge (Estate Reserve) 2011,South Africa,Stellenbosch,Morgenster Estate,4.2,125,36.5,2011-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.0,12.733333333333334,23.2,38.0,14840.0,12.899999999999999,7.033333333333334,18.7,47.333333333333336,12540.0,16.53333333333333,11.266666666666666,21.8,27.666666666666668,16200.0
Alàuda 2015,Italy,Toscana,Ruffino,4.5,125,106.89,2015-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Parcela 12 Graciano 2016,Spain,Castilla,Finca Constancia,3.8,125,8.99,2016-01-01,Castilla,Spain,40.4763551,-3.6800358,,9.9,21.533333333333335,27.933333333333334,,,20.03333333333333,33.333333333333336,17.166666666666668,,,11.5,20.933333333333334,33.5,
Copertino 2016,Italy,Copertino,Doppio Passo,4.1,125,8.77,2016-01-01,Copertino,Italy,40.2716808,18.0502517,,,,,,,,,,,,,,,
Le Different de Chateau de Ferrand Saint Emilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Ferrand,4.1,125,21.0,2015-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Haut-Médoc 2015,France,Haut-Médoc,Château d'Aurilhac,3.6,125,13.5,2015-01-01,Haut-Médoc,France,45.1445995,-0.7357492,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Caroso Montepulciano d'Abruzzo Riserva 2015,Italy,Montepulciano d'Abruzzo,Citra,3.9,125,13.55,2015-01-01,Montepulciano d'Abruzzo,Italy,42.1565463,14.6066804,15.566666666666668,12.700000000000001,18.73333333333333,28.333333333333332,13180.0,24.7,21.833333333333332,28.03333333333333,10.333333333333334,17140.0,19.3,16.73333333333333,22.333333333333332,73.66666666666667,10380.0
Ermitage Le Pavillon 2000,France,Hermitage,M. Chapoutier,4.6,125,419.95,2000-01-01,Hermitage,France,47.6406711,-2.7637153,,,,,,,,,,,,,,,
Matallana 2010,Spain,Ribera del Duero,Telmo Rodriguez,4.0,125,81.95,2010-01-01,Ribera del Duero,Spain,41.6657566,-3.6863295,9.6,3.1666666666666665,16.0,37.666666666666664,14920.0,19.466666666666665,11.699999999999998,27.2,18.0,19100.0,12.633333333333333,7.333333333333333,18.0,47.333333333333336,10120.0
Alfredo Dried Grape Shiraz 2016,Australia,South Australia,Nugan,3.8,125,22.59,2016-01-01,South Australia,Australia,-30.5343665,135.6301212,18.333333333333336,11.200000000000001,22.35,11.8,,12.133333333333333,5.433333333333334,19.066666666666666,13.933333333333335,,22.066666666666666,13.700000000000001,30.333333333333332,18.2,
Rocche di Castiglione Barolo 2011,Italy,Barolo,Brovia,4.2,125,66.45,2011-01-01,Barolo,Italy,44.6108408,7.9428448,,,,,,,,,,,,,,,
Toscano Rosso 2016,Italy,Toscana,Famiglia Castellani,4.0,125,5.43,2016-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Annonce Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.1,125,53.61,2014-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,11.399999999999999,7.233333333333334,16.400000000000002,72.0,9820.0,20.8,15.666666666666666,26.399999999999995,84.0,16120.0,14.5,11.066666666666668,19.03333333333333,99.33333333333333,7620.0
Messiio Maremma Toscana 2015,Italy,Maremma Toscana,Fertuna,4.1,125,21.24,2015-01-01,Maremma Toscana,Italy,42.7027722,11.1367433,14.066666666666668,8.200000000000001,20.133333333333336,45.666666666666664,,23.400000000000002,17.03333333333333,29.233333333333334,271.0,,18.233333333333334,13.933333333333332,23.399999999999995,152.0,
Tempranillo 2017,Spain,Castilla,Conde Pinel,3.4,125,4.86,2017-01-01,Castilla,Spain,40.4763551,-3.6800358,,7.666666666666667,17.766666666666666,63.666666666666664,,,19.5,33.333333333333336,4.166666666666667,,,11.933333333333335,21.2,59.73333333333333,
Ventoux Artemia 2015,France,Ventoux,Château Pesquie,4.0,125,32.9,2015-01-01,Ventoux,France,48.6778082,2.1768592,,,,,,,,,,,,,,,
Cabernet Sauvignon 2017,United States,California,Wines from Hahn Estate,3.7,1250,19.2,2017-01-01,California,United States,36.7014631,-118.755997,,,,,,,,,,,,,,,
Bourgogne Pinot Noir 2015,France,Bourgogne,Bouchard Père & Fils,3.5,1252,44.59,2015-01-01,Bourgogne,France,49.3555104,4.0681417,,,,,,,,,,,,,,,
Tupungato Passo Doble Malbec - Corvina 2009,Argentina,Tupungato,Masi,3.5,1252,13.69,2009-01-01,Tupungato,Argentina,-33.3723648,-69.1479533,,,,,,,,,,,,,,,
Reserva de Propiedad 2016,Chile,Maipo Valley,Haras de Pirque,3.5,1253,9.99,2016-01-01,Maipo Valley,Chile,-30.0,-71.0,15.633333333333333,,,,,12.0,,,30.3,,14.266666666666666,10.95,17.8,6.1,
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Léoville Poyferré,4.4,1254,139.95,2005-01-01,Saint-Julien,France,47.4019947,5.1364639,9.766666666666666,4.766666666666667,15.166666666666666,41.0,11660.0,18.966666666666665,13.700000000000001,24.766666666666666,79.33333333333333,13240.0,11.866666666666665,8.133333333333333,16.133333333333336,79.33333333333333,7500.0
Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Croix Mouton,3.7,1254,14.57,2015-01-01,Bordeaux Supérieur,France,44.884045,-0.562129,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Chianti Classico 2015,Italy,Chianti Classico,Tenuta Perano,3.8,1255,16.08,2015-01-01,Chianti Classico,Italy,43.3930219,11.3088538,,,,,,,,,,,,,,,
Alandra Tinto 2018,Portugal,Alentejo,Esporão,3.3,1258,4.75,2018-01-01,Alentejo,Portugal,38.0551003,-7.8605799,16.400000000000002,10.566666666666666,25.15,,,24.266666666666666,16.066666666666666,33.43333333333334,,,19.03333333333333,13.1,26.133333333333336,,
Gran Sangre de Toro Reserva 2015,Spain,Catalunya,Torres,3.7,1258,9.9,2015-01-01,Catalunya,Spain,41.8523094,1.5745043,,,,,,,,,,,,,,,
Rubesco Rosso di Torgiano 2013,Italy,Torgiano,Lungarotti,3.5,1259,11.65,2013-01-01,Torgiano,Italy,43.028542,12.44136,,,,,,,,,,,,,,,
Reserve Cabernet Sauvignon 2014,South Africa,Stellenbosch,Anura,3.9,126,16.6,2014-01-01,Stellenbosch,South Africa,-33.934444,18.869167,17.9,12.333333333333334,23.5,34.333333333333336,14940.0,13.0,8.166666666666666,17.766666666666666,108.66666666666667,11580.0,16.3,11.866666666666667,20.700000000000003,56.333333333333336,16500.0
Les Terroirs Vieux Carignan 2017,France,Hérault,Calmel & Joseph,3.7,126,9.9,2017-01-01,Hérault,France,43.591422,3.3553309,16.4,12.0,20.8,,,23.233333333333334,17.833333333333332,28.633333333333336,,,,,,,
Chianti Superiore 2018,Italy,Chianti,Castello del Trebbio,3.8,126,13.33,2018-01-01,Chianti,Italy,43.5824597,11.3168731,18.7,12.5,24.8,,,25.76666666666667,18.233333333333334,33.03333333333333,,,15.3,9.2,22.8,,
Casalferro Toscana 2016,Italy,Toscana,Ricasoli,4.0,126,39.9,2016-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Barbera d'Alba Trevigne 2009,Italy,Barbera d'Alba,Domenico Clerico,3.7,126,16.39,2009-01-01,Barbera d'Alba,Italy,44.7712158,8.0435811,10.633333333333333,7.533333333333334,14.266666666666666,107.0,9480.0,20.4,17.133333333333336,24.03333333333333,87.0,12680.0,12.433333333333332,10.233333333333333,15.100000000000001,69.0,7320.0
Pelagrilli Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Siro Pacenti,4.2,126,51.9,2014-01-01,Brunello di Montalcino,Italy,43.3204995,11.3281859,,,,,,,,,,,,,,,
50 & 50 2014,Italy,Toscana,Capannelle,4.3,126,95.7,2014-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Wiener Trilogie 2016,Austria,Wien,Wieninger,3.7,126,12.87,2016-01-01,Wien,Austria,48.2083537,16.3725042,,,,,,,,,,,,,,,
Gattinara Tre Vigne 2014,Italy,Gattinara,Travaglini,4.1,126,38.7,2014-01-01,Gattinara,Italy,45.6142424,8.3711382,,,,,,,,,,,,,,,
Ocra Bolgheri Rosso 2017,Italy,Bolgheri,Tenute Guicciardini Strozzi,3.9,126,21.95,2017-01-01,Bolgheri,Italy,43.2340065,10.6179334,,,,,,,,,,,,,,,
Message in a Bottle Rosso 2018,Italy,Toscana,Tenuta Il Palagio,3.7,126,14.55,2018-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Bricco Dei Merli Barbera d'Alba 2015,Italy,Barbera d'Alba,Elvio Cogno,3.8,126,13.95,2015-01-01,Barbera d'Alba,Italy,44.7712158,8.0435811,12.633333333333333,9.6,16.166666666666668,68.33333333333333,11300.0,19.3,16.166666666666668,22.833333333333332,109.66666666666667,11340.0,13.533333333333333,11.666666666666666,15.766666666666667,96.0,7340.0
Lacrima di Morro d'Alba 2018,Italy,Lacrima di Morro d'Alba,Conti di Buscareto,3.4,126,7.58,2018-01-01,Lacrima di Morro d'Alba,Italy,43.6,13.21331,13.8,8.4,18.7,,,,,,,,,,,,
Coevo Toscana 2013,Italy,Toscana,Cecchi,4.2,126,59.02,2013-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Amarone della Valpolicella Case Vecie 2013,Italy,Amarone della Valpolicella Classico,Brigaldara,4.0,126,36.75,2013-01-01,Amarone della Valpolicella Classico,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Syrah Sicilia 2018,Italy,Sicilia,Feudo Arancio,3.8,126,6.75,2018-01-01,Sicilia,Italy,37.587794,14.155048,,,,,,,,,,,,,,,
Cabernet Sauvignon 2017,Australia,Riverina,Richland,3.5,126,9.78,2017-01-01,Riverina,Australia,-37.8001708,144.907214,,12.6,22.2,38.06666666666666,,,7.2,14.333333333333334,58.53333333333333,,,9.366666666666667,18.900000000000002,71.33333333333333,
Collezione di Famiglia Syrah Terre Siciliane 2018,Italy,Terre Siciliane,Barone Montalto,4.1,126,8.32,2018-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Tre 2017,Italy,Toscana,Brancaia,3.6,126,11.5,2017-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Haut-Médoc 2010,France,Haut-Médoc,Château Sénéjac,3.7,1262,35.95,2010-01-01,Haut-Médoc,France,45.1445995,-0.7357492,12.866666666666667,8.200000000000001,18.3,75.0,12320.0,21.066666666666666,15.699999999999998,27.066666666666666,48.666666666666664,16540.0,15.100000000000001,11.033333333333333,20.36666666666667,95.66666666666667,10040.0
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Poyferré,4.2,1264,109.0,2011-01-01,Saint-Julien,France,47.4019947,5.1364639,9.999999999999998,5.066666666666666,15.166666666666666,47.333333333333336,11260.0,19.366666666666664,14.066666666666668,24.833333333333332,96.0,14140.0,10.4,6.6000000000000005,14.9,70.66666666666667,7760.0
Plumbago Nero d'Avola Sicilia 2017,Italy,Sicilia,Planeta,3.7,1264,10.5,2017-01-01,Sicilia,Italy,37.587794,14.155048,11.5,10.5,19.2,39.7,,21.633333333333336,,,,,14.6,,21.9,,
Chianti Classico Vigneto Gran Selezione San Lorenzo 2013,Italy,Chianti Classico,Castello di Ama,3.9,1265,31.53,2013-01-01,Chianti Classico,Italy,43.3930219,11.3088538,,,,,,,,,,,,,,,
Foradori - Teroldego 2015,Italy,Vigneti delle Dolomiti,Foradori,3.8,1269,19.5,2015-01-01,Vigneti delle Dolomiti,Italy,46.38333,11.85,,,,,,,,,,,,,,,
Haut-Médoc 2015,France,Haut-Médoc,Château Arnauld,4.1,127,43.39,2015-01-01,Haut-Médoc,France,45.1445995,-0.7357492,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Réserve Royale Saperavi 2015,Georgia,Kakheti,Mukhrani,4.4,127,32.9,2015-01-01,Kakheti,Georgia,41.737352,45.6721781,,,,,,,,,,,,,,,
Tinto Reserva 2016,Portugal,Dão,Fonte do Ouro,4.0,127,11.75,2016-01-01,Dão,Portugal,39.9375585,-7.8638768,15.866666666666667,,23.299999999999997,,,24.633333333333336,,35.0,4.45,,16.733333333333334,,,,
Petit Albet Penedès Rouge 2018,Spain,Penedès,Albet i Noya,3.2,127,7.95,2018-01-01,Penedès,Spain,41.3463825,1.6995213,15.5,11.866666666666667,20.033333333333335,47.13333333333333,,24.933333333333337,21.933333333333334,29.0,10.2,,17.533333333333335,13.966666666666667,22.599999999999998,51.5,
Camelot 2014,Italy,Terre Siciliane,Firriato,4.1,127,29.99,2014-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Kaleidoscope 2018,South Africa,Stellenbosch,Kaapzicht,3.3,127,7.9,2018-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.3,,,,,12.633333333333333,,,,,16.3,,,,
Syrah 2015,South Africa,Cape Agulhas,Lands End,3.6,127,9.9,2015-01-01,Cape Agulhas,South Africa,-34.8332895,19.9999379,,,,,,,,,,,,,,,
Edición Limitada M 2016,Chile,Colchagua Valley,Caliterra,4.1,127,14.57,2016-01-01,Colchagua Valley,Chile,-30.0,-71.0,15.633333333333333,,,,,12.0,,,30.3,,14.266666666666666,10.95,17.8,6.1,
Kennedy Grenache - Shiraz - Mourvedre 2017,Australia,Barossa Valley,Sons of Eden,3.9,127,26.81,2017-01-01,Barossa Valley,Australia,-34.5817132,138.9987872,16.433333333333334,10.933333333333332,23.03333333333333,30.05,,9.533333333333333,5.3,14.166666666666666,78.95,,13.066666666666665,7.1000000000000005,19.5,83.83333333333333,
Collio Cabernet Sauvignon 2017,Italy,Collio,Marco Felluga,3.7,127,15.99,2017-01-01,Collio,Italy,45.8093124,10.3328723,,,,,,,,,,,,,,,
Envero Carmenère Gran Reserva 2017,Chile,Colchagua Valley,Apaltagua,3.8,1270,14.5,2017-01-01,Colchagua Valley,Chile,-30.0,-71.0,15.700000000000001,13.600000000000001,,5.1,,12.066666666666668,8.3,,,,14.1,,,,
Casamatta Toscana Rosso 2016,Italy,Toscana,Bibi Graetz,3.5,1270,8.14,2016-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Fanti,4.2,1270,30.71,2012-01-01,Brunello di Montalcino,Italy,43.3204995,11.3281859,,,,,,,,,,,,,,,
Saint-Estèphe (Grand Cru Classé) 2010,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1272,55.0,2010-01-01,Saint-Estèphe,France,45.5925,0.6633333,,,,,,,,,,,,,,,
The Butcher Cuvée 2017,Austria,Neusiedlersee,Schwarz,3.8,1273,25.5,2017-01-01,Neusiedlersee,Austria,47.8030761,16.6469854,,,,,,,,,,,,,,,
Saint-Estèphe 2009,France,Saint-Estèphe,Château Haut-Marbuzet,4.3,1274,62.39,2009-01-01,Saint-Estèphe,France,45.5925,0.6633333,,,,,,,,,,,,,,,
The Banished Dark Red 2018,Australia,South Eastern Australia,19 Crimes,4.0,1274,11.49,2018-01-01,South Eastern Australia,Australia,-35.0085711,138.5726421,17.9,12.933333333333332,23.266666666666666,14.8,,11.633333333333333,7.033333333333334,16.033333333333335,58.76666666666667,,17.666666666666668,13.200000000000001,22.75,37.2,
Rosso di Montepulciano 2015,Italy,Rosso di Montepulciano,Poliziano,3.7,1274,9.95,2015-01-01,Rosso di Montepulciano,Italy,43.0921014,11.7818472,,,,,,,,,,,,,,,
Nero d'Avola Terre Siciliane 2017,Italy,Terre Siciliane,Tenuta Rapitalà,3.4,1275,6.75,2017-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Cabernet Sauvignon 2016,Chile,Aconcagua Valley,Arboleda,3.9,1275,15.5,2016-01-01,Aconcagua Valley,Chile,-30.0,-71.0,15.633333333333333,,,,,12.0,,,30.3,,14.266666666666666,10.95,17.8,6.1,
Crianza Rioja 2015,Spain,Rioja,Ramón Bilbao,3.8,12778,8.95,2015-01-01,Rioja,Spain,42.3285528,-2.4674917,13.6,7.2,20.0,34.0,13800.0,21.7,14.633333333333333,28.76666666666667,34.333333333333336,17480.0,16.599999999999998,10.700000000000001,22.53333333333333,46.0,10920.0
Primitivo 2018,Italy,Puglia,Terre di Montelusa,3.8,128,4.9,2018-01-01,Puglia,Italy,40.9842539,16.6210027,16.049999999999997,11.2,20.25,,,25.75,20.2,30.4,,,,,,,
Reserva Merlot 2016,Chile,Maipo Valley,Santa Rita,3.3,128,9.65,2016-01-01,Maipo Valley,Chile,-30.0,-71.0,15.633333333333333,,,,,12.0,,,30.3,,14.266666666666666,10.95,17.8,6.1,
Bricco della Bigotta Barbera d'Asti 2013,Italy,Barbera d'Asti,Braida,4.2,128,45.0,2013-01-01,Barbera d'Asti,Italy,44.8524808,8.2414532,,,,,,,,,,,,,,,
Cantus Primus Cabernet Sauvignon 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.8,128,18.9,2015-01-01,Dealu Mare,Romania,46.0417098,22.7959016,,,,,,,,,,,,,,,
Sassorosso Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,Nino Negri,3.8,128,16.51,2016-01-01,Valtellina Superiore,Italy,44.46006,7.10425,11.299999999999999,2.1,16.6,22.1,,19.9,13.8,27.4,78.1,,10.6,6.949999999999999,18.950000000000003,60.5,
Agneau Rouge Bordeaux 2018,France,Bordeaux,Baron Philippe de Rothschild,3.5,128,6.05,2018-01-01,Bordeaux,France,44.841225,-0.5800364,13.9,9.033333333333333,19.933333333333334,50.13333333333333,,21.133333333333333,16.466666666666665,27.2,64.96666666666667,,13.466666666666667,9.5,19.066666666666666,50.26666666666667,
Selkirk Shiraz 2016,Australia,Langhorne Creek,Bremerton,3.9,128,18.03,2016-01-01,Langhorne Creek,Australia,-35.295938,139.0364451,14.5,10.466666666666667,20.2,36.699999999999996,,10.433333333333332,6.533333333333332,14.766666666666666,35.6,,15.733333333333334,9.733333333333334,23.233333333333334,19.599999999999998,
Finca San Martín Crianza 2016,Spain,Rioja,La Rioja Alta,3.6,128,10.91,2016-01-01,Rioja,Spain,42.3285528,-2.4674917,13.566666666666668,7.766666666666666,20.133333333333333,30.33333333333333,,22.53333333333333,15.5,30.666666666666668,58.56666666666667,,14.0,9.0,20.0,26.8,
Edición Limitada A 2016,Chile,Colchagua Valley,Caliterra,4.1,128,16.5,2016-01-01,Colchagua Valley,Chile,-30.0,-71.0,15.633333333333333,,,,,12.0,,,30.3,,14.266666666666666,10.95,17.8,6.1,
Crianza 2014,Spain,Toro,Muruve,3.6,128,10.93,2014-01-01,Toro,Spain,41.5216963,-5.3939824,10.566666666666666,5.0,16.166666666666668,60.666666666666664,12900.0,21.900000000000002,13.700000000000001,30.133333333333336,15.0,21540.0,14.0,8.299999999999999,19.7,43.666666666666664,11060.0
Chianti 2015,Italy,Chianti,Principe Strozzi,3.4,128,17.4,2015-01-01,Chianti,Italy,43.5824597,11.3168731,,,,,,,,,,,,,,,
Chianti 2018,Italy,Chianti,Castello di Gabbiano,3.5,128,8.25,2018-01-01,Chianti,Italy,43.5824597,11.3168731,18.7,12.5,24.8,,,25.76666666666667,18.233333333333334,33.03333333333333,,,15.3,9.2,22.8,,
Spätburgunder 2017,Germany,Pfalz,Rings,3.6,128,11.5,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Prados Fusión Garnacha - Syrah 2018,Spain,Campo de Borja,Pagos del Moncayo,3.7,128,9.49,2018-01-01,Campo de Borja,Spain,41.7865415,-1.5058323,,,,,,,,,,,,,,,
Estate Red (Cabernet Sauvignon - Shiraz) 2016,South Africa,Stellenbosch,Kaapzicht,3.9,128,10.45,2016-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.15,15.5,24.15,,,12.566666666666668,7.55,17.8,,,17.1,13.0,24.5,,
Barrel Selection Merlot 2017,Argentina,Uco Valley,Salentein,4.0,128,13.43,2017-01-01,Uco Valley,Argentina,-34.0,-64.0,14.0,,,,,9.666666666666666,4.6,,,,16.766666666666666,9.55,,,
Tempranillo 2018,Spain,Castilla y León,Venta Morales,3.5,128,7.4,2018-01-01,Castilla y León,Spain,41.55005,-5.1387401,13.266666666666666,4.166666666666667,19.366666666666667,15.433333333333332,,22.933333333333337,12.5,29.266666666666666,16.233333333333334,,13.766666666666666,5.133333333333334,19.833333333333332,9.466666666666667,
Pinot Nero 2017,Italy,Südtirol - Alto Adige,Castel Sallegg,3.5,128,13.95,2017-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Dedicato Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,3.9,128,15.55,2013-01-01,Serra Gaúcha,Brazil,-29.1551147,-51.5153447,,,,,,,,,,,,,,,
Tortoniano Barolo 2006,Italy,Barolo,Michele Chiarlo,3.9,128,29.19,2006-01-01,Barolo,Italy,44.6108408,7.9428448,,,,,,,,,,,,,,,
Iirrésistible Côtes de Provence 2015,France,Côtes de Provence,Domaine de la Croix,3.8,128,29.0,2015-01-01,Côtes de Provence,France,43.4370505,6.652775,,,,,,,,,,,,,,,
Diamond Collection/Selection Shiraz 2019,Australia,South Eastern Australia,Rosemount,3.7,128,5.95,2019-01-01,South Eastern Australia,Australia,-35.0085711,138.5726421,18.3,13.433333333333332,23.400000000000002,10.6,,12.233333333333334,8.066666666666666,16.066666666666666,61.150000000000006,,16.066666666666666,10.766666666666666,21.36666666666667,36.4,
Malleolus 2017,Spain,Ribera del Duero,Emilio Moro,4.3,1281,27.05,2017-01-01,Ribera del Duero,Spain,41.6657566,-3.6863295,8.833333333333334,2.733333333333333,13.366666666666667,79.60000000000001,,18.766666666666666,11.100000000000001,27.333333333333332,16.233333333333334,,11.4,5.766666666666667,18.433333333333334,43.1,
No Name 2015,Italy,Piemonte,Borgogno,4.0,1285,25.55,2015-01-01,Piemonte,Italy,45.060735,7.923549,12.633333333333333,9.6,16.166666666666668,68.33333333333333,11300.0,19.3,16.166666666666668,22.833333333333332,109.66666666666667,11340.0,13.533333333333333,11.666666666666666,15.766666666666667,96.0,7340.0
Blacksmith Cabernet Sauvignon 2017,Australia,Barossa,Langmeil,3.9,129,16.9,2017-01-01,Barossa,Australia,-34.6134149,138.9385455,,11.633333333333333,20.633333333333333,69.73333333333333,,,6.333333333333333,11.733333333333334,103.66666666666667,,,7.333333333333333,16.85,41.6,
Ocho y Medio Malbec 2018,Spain,La Mancha,Finca La Estacada,3.6,129,5.49,2018-01-01,La Mancha,Spain,28.3774367,-16.6977504,9.533333333333333,5.733333333333333,14.1,7.933333333333334,,18.23333333333333,14.266666666666666,23.033333333333335,0.0,,12.066666666666668,8.833333333333334,16.333333333333332,6.333333333333333,
Riscal Roble Tempranillo 2013,Spain,Castilla y León,Marqués de Riscal,3.4,129,6.39,2013-01-01,Castilla y León,Spain,41.55005,-5.1387401,10.200000000000001,3.5666666666666664,16.833333333333332,45.333333333333336,14180.0,19.833333333333332,11.366666666666667,28.3,4.0,21380.0,11.966666666666667,6.300000000000001,17.666666666666668,60.666666666666664,10600.0
Pannobile Red 2015,Austria,Burgenland,Paul Achs,3.8,129,29.9,2015-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,18.9,14.4,23.9,,,,,,,
Terra d'Eclano Aglianico Irpinia 2013,Italy,Irpinia,Quintodecimo,4.2,129,43.65,2013-01-01,Irpinia,Italy,39.2278067,9.1185486,15.433333333333332,7.0,20.1,,,25.63333333333333,,32.599999999999994,0.0,,19.25,,27.6,,
Unico 2010,Spain,Ribera del Duero,Vega Sicilia,4.7,129,320.0,2010-01-01,Ribera del Duero,Spain,41.6657566,-3.6863295,9.6,3.1666666666666665,16.0,37.666666666666664,14920.0,19.466666666666665,11.699999999999998,27.2,18.0,19100.0,12.633333333333333,7.333333333333333,18.0,47.333333333333336,10120.0
Allnatt Rouge Souplesse 2018,France,Languedoc,Paul Mas,3.8,129,7.49,2018-01-01,Languedoc,France,43.6796869,1.3966515,13.666666666666666,8.566666666666668,19.799999999999997,75.8,,22.46666666666667,17.733333333333334,28.599999999999998,40.9,,13.666666666666666,9.466666666666667,19.099999999999998,26.433333333333334,
